Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2019-02-08,9.09,NA,NA,2,8,2/8,8,0,1,1,7
2020-02-08,7.55,0:54:11,7.176600441501104,2,8,2/8,9,0,1,1,8
2021-02-08,7.01,0:46:10,6.585829766999525,2,8,2/8,10,1,1,1,9
2014-02-09,4.52,0:28:15,6.250000000000001,2,9,2/9,1,0,1,1,1
2016-02-09,8.5,1:02:27,7.347058823529411,2,9,2/9,2,0,1,1,2
2017-02-09,4.02,0:34:14,8.51575456053068,2,9,2/9,3,0,1,1,3
2017-02-09,8.04,0:57:25,7.141376451077944,2,9,2/9,4,0,2,0,3
2018-02-09,8,0:58:05,7.260416666666667,2,9,2/9,5,0,1,1,4
2019-02-09,0.75,0:3:17,4.377777777777778,2,9,2/9,6,0,1,1,5
2019-02-09,9,NA,NA,2,9,2/9,7,0,2,0,5
2020-02-09,3.11,0:16:01,5.15005359056806,2,9,2/9,8,0,1,1,6
2020-02-09,8.98,NA,NA,2,9,2/9,9,0,2,0,6
2021-02-09,7.2,0:49:32,6.87962962962963,2,9,2/9,10,1,1,1,7
2011-02-10,3,0:24:33,8.183333333333334,2,10,2/10,1,0,1,1,1
2015-02-10,5.88,0:45:11,7.684240362811791,2,10,2/10,2,0,1,1,2
2016-02-10,7.28,NA,NA,2,10,2/10,3,0,1,1,3
2017-02-10,8.02,1:02:58,7.85120532003325,2,10,2/10,4,0,1,1,4
2018-02-10,1,0:4:31,4.516666666666667,2,10,2/10,5,0,1,1,5
2018-02-10,9,NA,NA,2,10,2/10,6,0,2,0,5
2019-02-10,14.05,1:37:11,6.9169632265717675,2,10,2/10,7,0,1,1,6
2020-02-10,5.15,0:38:43,7.517799352750809,2,10,2/10,8,1,1,1,7
2010-02-11,2.6,NA,NA,2,11,2/11,1,0,1,1,1
2011-02-11,3.06,0:22:33,7.369281045751634,2,11,2/11,2,0,1,1,2
2012-02-11,4.05,0:31:43,7.8312757201646095,2,11,2/11,3,0,1,1,3
2016-02-11,7.65,0:58:34,7.655773420479303,2,11,2/11,4,0,1,1,4
2017-02-11,1,0:4:36,4.6,2,11,2/11,5,0,1,1,5
2017-02-11,9.02,NA,NA,2,11,2/11,6,0,2,0,5
2018-02-11,15.15,1:54:59,7.589658965896589,2,11,2/11,7,0,1,1,6
2020-02-11,7.45,0:52:11,7.004474272930649,2,11,2/11,8,1,1,1,7
2012-02-12,1.08,0:6:37,6.126543209876543,2,12,2/12,1,0,1,1,1
2014-02-12,4.04,0:30:18,7.5,2,12,2/12,2,0,1,1,2
2015-02-12,5.14,0:44:08,8.586251621271078,2,12,2/12,3,0,1,1,3
2016-02-12,6.42,0:44:45,6.970404984423676,2,12,2/12,4,0,1,1,4
2017-02-12,10,1:12:38,7.263333333333334,2,12,2/12,5,0,1,1,5
2018-02-12,6.01,0:48:28,8.064337215751525,2,12,2/12,6,0,1,1,6
2019-02-12,10,NA,NA,2,12,2/12,7,0,1,1,7
2020-02-12,10.58,NA,NA,2,12,2/12,8,1,1,1,8
2011-02-13,3.1,0:19:59,6.446236559139785,2,13,2/13,1,0,1,1,1
